icb22cd,icb22nm,number_lsoas,total_icb_pop,imd_score_weighted,imd_rank,imd_quintile
E54000052,NHS Surrey Heartlands Integrated Care Board,618,1026645,10.288583776280996,1,1
E54000044,"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",1011,1667544,11.234651982796263,2,1
E54000034,NHS Frimley Integrated Care Board,440,730837,12.324791581433344,3,1
E54000025,NHS Hertfordshire and West Essex Integrated Care Board,857,1445122,13.311806572732264,4,1
E54000040,"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",536,895532,14.2997731862178,5,1
E54000043,NHS Gloucestershire Integrated Care Board,373,617527,14.932188948823285,6,1
E54000031,NHS South West London Integrated Care Board,857,1470465,15.936804972576699,7,1
E54000056,NHS Cambridgeshire and Peterborough Integrated Care Board,498,851893,16.888225349897212,8,1
E54000041,NHS Dorset Integrated Care Board,452,761630,16.986336948387017,9,1
E54000026,NHS Mid and South Essex Integrated Care Board,705,1163798,17.258081781374425,10,2
E54000042,NHS Hampshire and Isle of Wight Integrated Care Board,1093,1785696,17.279165215131812,11,2
E54000053,NHS Sussex Integrated Care Board,995,1659921,17.282889154965773,12,2
E54000024,"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",537,921087,18.20233961069908,13,2
E54000015,"NHS Leicester, Leicestershire and Rutland Integrated Care Board",611,1054029,18.240001063538106,14,2
E54000019,NHS Herefordshire and Worcestershire Integrated Care Board,480,766436,18.28560937508156,15,2
E54000038,NHS Somerset Integrated Care Board,327,546466,18.553016553637367,16,2
E54000059,NHS Northamptonshire Integrated Care Board,422,720913,18.604750410937235,17,2
E54000023,NHS Suffolk and North East Essex Integrated Care Board,562,956038,19.015684197699272,18,2
E54000018,NHS Coventry and Warwickshire Integrated Care Board,534,899442,19.457038737350516,19,3
E54000039,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",563,933337,19.6928713744339,20,3
E54000011,"NHS Shropshire, Telford and Wrekin Integrated Care Board",301,483244,19.93662479616923,21,3
E54000037,NHS Devon Integrated Care Board,707,1166258,20.16991242675292,22,3
E54000032,NHS Kent and Medway Integrated Care Board,1065,1795251,20.210316224305135,23,3
E54000013,NHS Lincolnshire Integrated Care Board,420,736717,20.290468730869513,24,3
E54000058,NHS Derby and Derbyshire Integrated Care Board,642,1036360,20.33468360318809,25,3
E54000010,NHS Staffordshire and Stoke-on-Trent Integrated Care Board,687,1109099,20.638161108250923,26,3
E54000051,NHS Humber and North Yorkshire Integrated Care Board,1044,1679446,20.909930537212844,27,4
E54000027,NHS North West London Integrated Care Board,1153,2054971,21.02623704714082,28,4
E54000022,NHS Norfolk and Waveney Integrated Care Board,611,999561,21.72792301920543,29,4
E54000030,NHS South East London Integrated Care Board,1007,1764376,22.216205915292438,30,4
E54000028,NHS North Central London Integrated Care Board,795,1446340,22.984130682965272,31,4
E54000036,NHS Cornwall and the Isles of Scilly Integrated Care Board,327,552618,23.024917945126656,32,4
E54000060,NHS Nottingham and Nottinghamshire Integrated Care Board,679,1122210,23.510541781841177,33,4
E54000029,NHS North East London Integrated Care Board,1023,1926470,25.836508691544637,34,4
E54000048,NHS Lancashire and South Cumbria Integrated Care Board,1058,1659825,25.998271527420055,35,5
E54000050,NHS North East and North Cumbria Integrated Care Board,1864,2938723,27.370400700576372,36,5
E54000008,NHS Cheshire and Merseyside Integrated Care Board,1562,2442689,28.11591295330677,37,5
E54000054,NHS West Yorkshire Integrated Care Board,1417,2325253,28.181652982277658,38,5
E54000061,NHS South Yorkshire Integrated Care Board,853,1372863,28.74763755888243,39,5
E54000057,NHS Greater Manchester Integrated Care Board,1673,2752015,30.015727922994593,40,5
E54000062,NHS Black Country Integrated Care Board,712,1166418,30.564210845511635,41,5
E54000055,NHS Birmingham and Solihull Integrated Care Board,773,1323139,34.769118128178555,42,5
